title,rent_per_period,rent_period,region,property_size_sqm,bedrooms,bathrooms,furnishing,listing_by,user_id,is_owner,can_view_contacts,status,property_url,description,property_address,estate_name,condition,toilets,ranter_or_agent_name,time_on_jiji,property_details
"2bdrm Apartment in Ahadi, Rimpa for rent",18000,per month,"Ongata Rongai, Rimpa",1500,2,1,Unfurnished,Owner,3825546,False,True,active,/rimpa/houses-apartments-for-rent/2bdrm-apartment-in-ahadi-rimpa-for-rent-l9zE95j85QMyk9vFOpNadA1R.html,,"Kajiado, Ongata Rongai, Rimpa, 24/05",Ahadi,Newly-Built,1,_. Tiria,3 y 8 m on Jiji,300 metres from the Rimpa stage with a private compound
Furnished 1bdrm House in Nangina for rent,12000,per month,"Busia, Nangina",100,1,1,Furnished,Agent,6320605,False,True,active,/nangina/houses-apartments-for-rent/furnished-1bdrm-house-in-nangina-for-rent-mLDTpacVrkvhHMsCE3mQExbi.html,,"Busia, Nangina, 20/05",,Newly-Built,1,Norina Estimile,2 m on Jiji,One bedroom furnished house
"5bdrm House in Syokimau, Katani for rent",80000,per month,"Syokimau, Katani",4000,5,3,Unfurnished,Owner,4298638,False,True,active,/katani/houses-apartments-for-rent/5bdrm-house-in-syokimau-katani-for-rent-a4itLXi70XBcjCWHmDIiMdv.html,,"Machakos, Syokimau, Katani, 20/05",Syokimau,Fairly Used,3,Eustine Mmayi,3 y 2 m on Jiji,"Spacious 5 bedroom House for Rent in Syokimau
Modern well maintained 5 bedroom home located in a serene secure neighborhood on Katani Road, Syokimau. Includes a large living area, dining room and tv room, ample parking and a private compound. Ideal for families or shared living."
Furnished 2bdrm Bungalow in Shella for rent,70000,per month,"Malindi, Shella",1000,2,2,Furnished,Owner,5840706,False,True,active,/shella-malindi/houses-apartments-for-rent/furnished-2bdrm-bungalow-in-shella-for-rent-xyIw1TIcQGBu20SKYNsK6aNd.html,,"Kilifi, Malindi, Shella / Malindi, 20/05",,Fairly Used,2,Margaret Phillips,10 m on Jiji,The house is a 5min walk to the beach where you can enjoy beautiful sunsets and popular restaurants in the area. It's right next to the tarmac road. Spacious rooms and family friendly. Please contact for more photos.
"1bdrm Apartment in Leshwa House 1, Kileleshwa for rent",75000,per month,"Nairobi, Kileleshwa",75,1,1,Semi-Furnished,,2296229,False,True,active,/kileleshwa/houses-apartments-for-rent/1bdrm-apartment-in-leshwa-house-1-kileleshwa-for-rent-zjdfFdyq8h9uXfmnjLGfxE8t.html,,"Nairobi, Kileleshwa, 20/05",Leshwa House 1,Newly-Built,1,Caal Real Estate,5 y 4 m on Jiji,"This is a modern and spacious one bedroom located in the heart of kileleshwa. It has all the high level fittings and features, newly built with amazing amenities:
_Fully equipped gym
_Kid's play area
_Swimming pool
_Rooftop gardens
_Barbecue space
_Coffee bar
_Ample parking slots"
"2bdrm Apartment in Fairvalley Heights, Athi River for rent",28000,per month,"Machakos, Athi River",800,2,1,Unfurnished,,2512992,False,True,active,/athi-river/houses-apartments-for-rent/2bdrm-apartment-in-fairvalley-heights-athi-river-for-rent-fD8FEVhzPFxUAPh88F8R6uXl.html,,"Machakos, Athi River, 20/05",Fairvalley heights,Newly-Built,1,Christine Anyango,5 y on Jiji,"1,2,3 bedroom apartments 
.1km from Mombasa-Nairobi Highway
.20km from JKIA and Nairobi SGR terminus
.EPZ Athi River, Bamburi Cement"
1bdrm Bedsitter in Joska for rent,4500,per month,"Kamulu, Joska",195,1,1,Unfurnished,,4792135,False,True,active,/joska/houses-apartments-for-rent/1bdrm-bedsitter-in-joska-for-rent-1bn2yEwh9uryO7YGkpL30A8d.html,,"Nairobi, Kamulu, Joska, 20/05",,Newly-Built,,Ritah Njoki,2 y 6 m on Jiji,Newly built Spacious bedsitters for rent at Joska Waswa. Situated in a secure gated area with pre paid token meter with water 24/7. No agents
"Furnished 1bdrm Apartment in Riara One Residency, Nairobi Central",150000,per month,"Nairobi, Nairobi Central",65,1,1,Furnished,Owner,6230879,False,True,active,/nairobi-central/houses-apartments-for-rent/furnished-1bdrm-apartment-in-riara-one-residency-nairobi-central-rRDdr0ge8FZIlNHLN6JJmoHZ.html,,"Nairobi, Nairobi Central, 20/05",Riara One Residency,Newly-Built,1,Bibi Bob,3 m on Jiji,"1 minute walk from Junction Mall, Unique and magnificent one bedroom apartment with:
- Large Swimming Pool 
- Fully equipped gym
- Children Play area with toys
- High speed internet 
- Fully equipped kitchen 
- Top quality furnishings 
- Large balcony with lighting
- 24h gated security 
- Fast air conditioned lifts
- Back-up generator
- Highly secure and peaceful environment
* PLEASE DO NOT CALL * 
* WHATSAPP CONTACT ONLY*"
"2bdrm Penthouse in Gardens, Langata for rent",45000,per month,"Nairobi, Langata",200,2,2,Unfurnished,,2047143,False,True,active,/mugumo-ini-langata/houses-apartments-for-rent/2bdrm-penthouse-in-gardens-langata-for-rent-ijvVX617nk0jTa4PepuZMNkV.html,,"Nairobi, Langata, 21/05",Gardens,Fairly Used,2,Josphat Nyaga,5 y 9 m on Jiji,"Stylish Penthouse for Rent – Ksh 45,000 | Lang’ata
Experience elevated living in this spacious, fairly used penthouse located in the heart of Lang’ata. Priced at an affordable Ksh 45,000, this home offers the perfect blend of comfort, convenience, and security.
Features:
Generously sized rooms with natural lighting and modern finishes
Ample parking space for residents and visitors
24-hour CCTV surveillance and secure gated compound for your peace of mind
Quiet and well-maintained neighborhood
Close proximity to schools, shopping centers, public transport, and recreational facilities
 Ideal for individuals or families looking for a serene and secure place to call home.
Contact us today to schedule a viewing! Homes like this don’t stay on the market for long."
3bdrm Apartment in Kileleshwa for rent,85000,per month,"Nairobi, Kileleshwa",180,3,3,Unfurnished,Agent,2190471,False,True,active,/kileleshwa/houses-apartments-for-rent/3bdrm-apartment-in-kileleshwa-for-rent-swx1lTToNZA8JTvQHZZrxCGJ.html,,"Nairobi, Kileleshwa, 21/05",Kileleshwa,Fairly Used,3,Silvian Wanjiku,5 y 6 m on Jiji,"This beautifully designed 3-bedroom apartment offers modern comfort, space, and style in one of Nairobi’s most sought-after neighborhoods.
Enjoy the convenience of 2 ensuite bedrooms, a high-speed lift, and access to premium amenities including a well-equipped gym and a lush communal garden – perfect for relaxation or family time.
Located in a secure and serene environment, with easy access to schools, shopping centers, and major roads, this home blends city living with tranquil charm.
Key Features:
3 spacious bedrooms (2 ensuite)
High-speed elevator
Modern kitchen and fittings
Ample parking
Communal gym & garden
Great neighborhood with 24/7 security
?? Affordable rent | Ready to move in!
Call today to schedule a viewing and make this your next home!"
